time,power_state,usb,wlc,battery_voltage,battery_current,battery_temp,battery_soc,battery_soc_latched,pmic_die_temp,wlc_voltage,wlc_current,wlc_die_temp,system_voltage
1753201687.707408,5,USB_connected,WLC_disconnected,3.186,-189.900,20.938,0.35,0.35,33.244,0.000,0.000,0.000,4.343
1753201688.9399195,5,USB_connected,WLC_disconnected,3.191,-189.900,21.038,0.58,0.58,34.037,0.000,0.000,0.000,4.343
1753201690.1726408,5,USB_connected,WLC_disconnected,3.196,-190.350,20.938,0.72,0.72,35.622,0.000,0.000,0.000,4.362
1753201691.4055445,5,USB_connected,WLC_disconnected,3.201,-189.675,20.938,0.84,0.84,35.622,0.000,0.000,0.000,4.331
1753201692.6380308,5,USB_connected,WLC_disconnected,3.201,-190.125,21.038,0.95,0.95,36.414,0.000,0.000,0.000,4.331
1753201693.8705938,5,USB_connected,WLC_disconnected,3.201,-189.900,21.038,1.04,1.04,36.414,0.000,0.000,0.000,4.337
1753201695.1037662,5,USB_connected,WLC_disconnected,3.206,-189.675,21.340,1.12,1.12,36.414,0.000,0.000,0.000,4.399
1753201696.3363078,5,USB_connected,WLC_disconnected,3.206,-190.575,21.038,1.20,1.20,37.207,0.000,0.000,0.000,4.337
1753201697.569066,5,USB_connected,WLC_disconnected,3.211,-190.125,21.038,1.26,1.26,37.207,0.000,0.000,0.000,4.337
1753201698.801909,5,USB_connected,WLC_disconnected,3.211,-189.675,21.038,1.33,1.33,37.207,0.000,0.000,0.000,4.387
1753201700.0343473,5,USB_connected,WLC_disconnected,3.211,-190.125,21.038,1.39,1.39,38.000,0.000,0.000,0.000,4.337
1753201701.2671921,5,USB_connected,WLC_disconnected,3.216,-190.350,21.038,1.45,1.45,37.207,0.000,0.000,0.000,4.331
1753201702.4999733,5,USB_connected,WLC_disconnected,3.211,-190.350,20.737,1.50,1.50,37.207,0.000,0.000,0.000,4.331
1753201703.7325325,5,USB_connected,WLC_disconnected,3.220,-190.350,21.139,1.56,1.56,38.792,0.000,0.000,0.000,4.343
1753201704.9652495,5,USB_connected,WLC_disconnected,3.216,-190.125,21.139,1.61,1.61,38.000,0.000,0.000,0.000,4.337
1753201706.197986,5,USB_connected,WLC_disconnected,3.220,-190.575,21.139,1.66,1.66,38.792,0.000,0.000,0.000,4.343
1753201707.4309375,5,USB_connected,WLC_disconnected,3.220,-190.575,21.139,1.71,1.71,38.792,0.000,0.000,0.000,4.331
1753201708.6800525,5,USB_connected,WLC_disconnected,3.225,-190.575,21.038,1.76,1.76,38.000,0.000,0.000,0.000,4.331
1753201709.9128194,5,USB_connected,WLC_disconnected,3.225,-190.800,21.038,1.80,1.80,38.000,0.000,0.000,0.000,4.331
1753201711.1455827,5,USB_connected,WLC_disconnected,3.225,-190.125,21.038,1.85,1.85,38.000,0.000,0.000,0.000,4.362
1753201712.378402,5,USB_connected,WLC_disconnected,3.225,-190.350,21.139,1.89,1.89,38.792,0.000,0.000,0.000,4.337
1753201713.6109993,5,USB_connected,WLC_disconnected,3.225,-190.350,21.139,1.94,1.94,38.792,0.000,0.000,0.000,4.331
1753201714.8439827,5,USB_connected,WLC_disconnected,3.225,-190.125,21.139,1.98,1.98,38.000,0.000,0.000,0.000,4.331
1753201716.0765417,5,USB_connected,WLC_disconnected,3.230,-190.800,21.240,2.02,2.02,38.792,0.000,0.000,0.000,4.387
1753201717.3093123,5,USB_connected,WLC_disconnected,3.230,-190.350,21.240,2.06,2.06,38.792,0.000,0.000,0.000,4.331
1753201718.542286,5,USB_connected,WLC_disconnected,3.230,-190.575,21.240,2.10,2.10,38.000,0.000,0.000,0.000,4.349
1753201719.7746208,5,USB_connected,WLC_disconnected,3.230,-190.800,21.139,2.14,2.14,38.792,0.000,0.000,0.000,4.349
1753201721.0077083,5,USB_connected,WLC_disconnected,3.235,-190.125,21.240,2.18,2.18,38.792,0.000,0.000,0.000,4.349
1753201722.2405472,5,USB_connected,WLC_disconnected,3.235,-190.575,21.139,2.22,2.22,38.792,0.000,0.000,0.000,4.349
1753201723.4731686,5,USB_connected,WLC_disconnected,3.235,-191.025,21.240,2.25,2.25,38.792,0.000,0.000,0.000,4.368
1753201724.7060378,5,USB_connected,WLC_disconnected,3.235,-190.125,21.240,2.29,2.29,38.792,0.000,0.000,0.000,4.393
1753201725.93873,5,USB_connected,WLC_disconnected,3.235,-190.350,21.240,2.32,2.32,38.792,0.000,0.000,0.000,4.337
1753201727.1712985,5,USB_connected,WLC_disconnected,3.240,-190.800,21.240,2.36,2.36,39.585,0.000,0.000,0.000,4.349
1753201728.4045286,5,USB_connected,WLC_disconnected,3.240,-190.575,21.340,2.39,2.39,38.792,0.000,0.000,0.000,4.331
1753201729.6368387,5,USB_connected,WLC_disconnected,3.240,-190.575,21.340,2.43,2.43,39.585,0.000,0.000,0.000,4.331
1753201730.8696148,5,USB_connected,WLC_disconnected,3.240,-190.125,21.340,2.46,2.46,38.792,0.000,0.000,0.000,4.355
1753201732.1026378,5,USB_connected,WLC_disconnected,3.240,-190.800,21.340,2.49,2.49,39.585,0.000,0.000,0.000,4.337
1753201733.335086,5,USB_connected,WLC_disconnected,3.240,-190.800,21.340,2.53,2.53,38.792,0.000,0.000,0.000,4.337
1753201734.5678415,5,USB_connected,WLC_disconnected,3.245,-191.025,21.340,2.56,2.56,39.585,0.000,0.000,0.000,4.362
1753201735.8007493,5,USB_connected,WLC_disconnected,3.245,-190.575,21.340,2.59,2.59,39.585,0.000,0.000,0.000,4.331
1753201737.0332298,5,USB_connected,WLC_disconnected,3.245,-190.575,21.441,2.63,2.63,40.377,0.000,0.000,0.000,4.331
1753201738.2826393,5,USB_connected,WLC_disconnected,3.245,-190.350,21.340,2.66,2.66,39.585,0.000,0.000,0.000,4.337
1753201739.515115,5,USB_connected,WLC_disconnected,3.250,-190.575,21.340,2.69,2.69,39.585,0.000,0.000,0.000,4.331
1753201740.7477374,5,USB_connected,WLC_disconnected,3.250,-190.575,21.340,2.72,2.72,39.585,0.000,0.000,0.000,4.362
1753201741.9807646,5,USB_connected,WLC_disconnected,3.250,-190.800,21.441,2.75,2.75,39.585,0.000,0.000,0.000,4.331
1753201743.2134676,5,USB_connected,WLC_disconnected,3.250,-190.800,21.441,2.78,2.78,39.585,0.000,0.000,0.000,4.343
1753201744.4461806,5,USB_connected,WLC_disconnected,3.245,-191.250,21.744,2.81,2.81,40.377,0.000,0.000,0.000,4.331
1753201745.6789496,5,USB_connected,WLC_disconnected,3.250,-190.800,21.441,2.84,2.84,40.377,0.000,0.000,0.000,4.387
1753201746.911595,5,USB_connected,WLC_disconnected,3.250,-190.800,21.441,2.87,2.87,40.377,0.000,0.000,0.000,4.387
1753201748.1446242,5,USB_connected,WLC_disconnected,3.250,-191.025,21.441,2.90,2.90,40.377,0.000,0.000,0.000,4.337
1753201749.3771122,5,USB_connected,WLC_disconnected,3.255,-190.575,21.441,2.93,2.93,39.585,0.000,0.000,0.000,4.337
1753201750.6098464,5,USB_connected,WLC_disconnected,3.255,-191.700,21.441,2.96,2.96,40.377,0.000,0.000,0.000,4.343
1753201751.8427503,5,USB_connected,WLC_disconnected,3.255,-190.800,21.441,2.99,2.99,39.585,0.000,0.000,0.000,4.387
1753201753.075341,5,USB_connected,WLC_disconnected,3.255,-190.800,21.441,3.02,3.02,39.585,0.000,0.000,0.000,4.362
1753201754.3081393,5,USB_connected,WLC_disconnected,3.255,-190.575,21.441,3.04,3.04,40.377,0.000,0.000,0.000,4.337
1753201755.541018,5,USB_connected,WLC_disconnected,3.255,-191.025,21.542,3.07,3.07,39.585,0.000,0.000,0.000,4.343
1753201756.7735903,5,USB_connected,WLC_disconnected,3.255,-190.575,21.542,3.10,3.10,39.585,0.000,0.000,0.000,4.337
1753201758.0064616,5,USB_connected,WLC_disconnected,3.255,-191.025,21.542,3.13,3.13,39.585,0.000,0.000,0.000,4.337
1753201759.2390053,5,USB_connected,WLC_disconnected,3.260,-190.125,21.542,3.15,3.15,39.585,0.000,0.000,0.000,4.337
1753201760.471336,5,USB_connected,WLC_disconnected,3.260,-190.800,21.542,3.18,3.18,39.585,0.000,0.000,0.000,4.337
1753201761.7048264,5,USB_connected,WLC_disconnected,3.260,-190.350,21.542,3.21,3.21,39.585,0.000,0.000,0.000,4.331
1753201762.9371896,5,USB_connected,WLC_disconnected,3.260,-190.575,21.542,3.24,3.24,39.585,0.000,0.000,0.000,4.337
1753201764.1699796,5,USB_connected,WLC_disconnected,3.260,-191.250,21.542,3.26,3.26,37.207,0.000,0.000,0.000,4.337
1753201765.402876,5,USB_connected,WLC_disconnected,3.260,-191.025,21.542,3.29,3.29,39.585,0.000,0.000,0.000,4.343
1753201766.6356084,5,USB_connected,WLC_disconnected,3.264,-191.250,21.542,3.32,3.32,39.585,0.000,0.000,0.000,4.387
1753201767.8680685,5,USB_connected,WLC_disconnected,3.264,-191.250,21.542,3.34,3.34,37.207,0.000,0.000,0.000,4.331
1753201769.1011715,5,USB_connected,WLC_disconnected,3.269,-190.800,21.542,3.37,3.37,40.377,0.000,0.000,0.000,4.343
1753201770.33365,5,USB_connected,WLC_disconnected,3.264,-190.575,21.542,3.40,3.40,40.377,0.000,0.000,0.000,4.337
1753201771.5660517,5,USB_connected,WLC_disconnected,3.264,-190.800,21.643,3.42,3.42,40.377,0.000,0.000,0.000,4.387
1753201772.7993724,5,USB_connected,WLC_disconnected,3.264,-190.575,21.643,3.45,3.45,39.585,0.000,0.000,0.000,4.331
1753201774.0319939,5,USB_connected,WLC_disconnected,3.269,-190.800,21.542,3.47,3.47,39.585,0.000,0.000,0.000,4.331
1753201775.265079,5,USB_connected,WLC_disconnected,3.269,-190.800,21.643,3.50,3.50,39.585,0.000,0.000,0.000,4.331
1753201776.4975107,5,USB_connected,WLC_disconnected,3.269,-191.025,21.643,3.53,3.53,40.377,0.000,0.000,0.000,4.355
1753201777.7302127,5,USB_connected,WLC_disconnected,3.269,-191.025,21.643,3.55,3.55,40.377,0.000,0.000,0.000,4.343
1753201778.963345,5,USB_connected,WLC_disconnected,3.269,-190.800,21.643,3.58,3.58,39.585,0.000,0.000,0.000,4.337
1753201780.1957667,5,USB_connected,WLC_disconnected,3.269,-191.025,21.643,3.60,3.60,37.207,0.000,0.000,0.000,4.343
1753201781.4286456,5,USB_connected,WLC_disconnected,3.274,-191.025,21.643,3.63,3.63,40.377,0.000,0.000,0.000,4.331
1753201782.6616466,5,USB_connected,WLC_disconnected,3.269,-191.025,21.744,3.66,3.66,42.755,0.000,0.000,0.000,4.387
1753201783.8940508,5,USB_connected,WLC_disconnected,3.269,-191.250,21.744,3.68,3.68,39.585,0.000,0.000,0.000,4.387
1753201785.126792,5,USB_connected,WLC_disconnected,3.274,-191.250,21.643,3.71,3.71,39.585,0.000,0.000,0.000,4.331
1753201786.3598053,5,USB_connected,WLC_disconnected,3.274,-191.025,21.744,3.73,3.73,39.585,0.000,0.000,0.000,4.337
1753201787.592302,5,USB_connected,WLC_disconnected,3.274,-191.250,21.643,3.76,3.76,40.377,0.000,0.000,0.000,4.387
1753201788.8248508,5,USB_connected,WLC_disconnected,3.274,-191.250,21.643,3.78,3.78,37.207,0.000,0.000,0.000,4.331
1753201790.0577013,5,USB_connected,WLC_disconnected,3.274,-191.250,21.744,3.81,3.81,40.377,0.000,0.000,0.000,4.343
1753201791.2904997,5,USB_connected,WLC_disconnected,3.279,-191.025,21.744,3.83,3.83,40.377,0.000,0.000,0.000,4.343
1753201792.523312,5,USB_connected,WLC_disconnected,3.279,-190.800,21.744,3.86,3.86,37.207,0.000,0.000,0.000,4.331
1753201793.7559423,5,USB_connected,WLC_disconnected,3.279,-191.250,21.744,3.88,3.88,40.377,0.000,0.000,0.000,4.349
1753201794.9886875,5,USB_connected,WLC_disconnected,3.274,-191.700,21.744,3.91,3.91,40.377,0.000,0.000,0.000,4.337
1753201796.2216916,5,USB_connected,WLC_disconnected,3.279,-191.250,21.744,3.93,3.93,40.377,0.000,0.000,0.000,4.331
1753201797.4542398,5,USB_connected,WLC_disconnected,3.279,-191.250,21.744,3.96,3.96,40.377,0.000,0.000,0.000,4.337
1753201798.686976,5,USB_connected,WLC_disconnected,3.279,-191.475,21.845,3.98,3.98,40.377,0.000,0.000,0.000,4.387
1753201799.919848,5,USB_connected,WLC_disconnected,3.279,-191.250,21.744,4.01,4.01,40.377,0.000,0.000,0.000,4.337
1753201801.152313,5,USB_connected,WLC_disconnected,3.279,-190.800,21.744,4.03,4.03,40.377,0.000,0.000,0.000,4.337
1753201802.38483,5,USB_connected,WLC_disconnected,3.284,-191.025,21.845,4.06,4.06,38.000,0.000,0.000,0.000,4.337
1753201803.6177769,5,USB_connected,WLC_disconnected,3.279,-191.250,21.744,4.08,4.08,40.377,0.000,0.000,0.000,4.337
1753201804.850615,5,USB_connected,WLC_disconnected,3.279,-191.250,21.744,4.10,4.10,40.377,0.000,0.000,0.000,4.337
1753201806.0835576,5,USB_connected,WLC_disconnected,3.284,-191.025,21.744,4.13,4.13,40.377,0.000,0.000,0.000,4.337
1753201807.3160515,5,USB_connected,WLC_disconnected,3.284,-191.700,21.845,4.15,4.15,40.377,0.000,0.000,0.000,4.337
1753201808.5488226,5,USB_connected,WLC_disconnected,3.284,-191.025,21.744,4.18,4.18,40.377,0.000,0.000,0.000,4.331
1753201809.7818067,5,USB_connected,WLC_disconnected,3.279,-191.250,22.148,4.20,4.20,40.377,0.000,0.000,0.000,4.331
1753201811.0144315,5,USB_connected,WLC_disconnected,3.284,-191.025,21.845,4.22,4.22,37.207,0.000,0.000,0.000,4.343
1753201812.2638142,5,USB_connected,WLC_disconnected,3.284,-190.800,21.845,4.25,4.25,40.377,0.000,0.000,0.000,4.337
1753201813.4961329,5,USB_connected,WLC_disconnected,3.284,-191.025,21.845,4.27,4.27,39.585,0.000,0.000,0.000,4.355
1753201814.7290833,5,USB_connected,WLC_disconnected,3.284,-191.250,21.845,4.30,4.30,40.377,0.000,0.000,0.000,4.362
1753201815.9620936,5,USB_connected,WLC_disconnected,3.289,-191.250,21.845,4.32,4.32,40.377,0.000,0.000,0.000,4.324
1753201817.1942358,5,USB_connected,WLC_disconnected,3.289,-190.575,21.845,4.35,4.35,40.377,0.000,0.000,0.000,4.387
1753201818.4271736,5,USB_connected,WLC_disconnected,3.289,-191.250,21.845,4.37,4.37,40.377,0.000,0.000,0.000,4.337
1753201819.6602042,5,USB_connected,WLC_disconnected,3.289,-191.025,21.845,4.39,4.39,40.377,0.000,0.000,0.000,4.331
1753201820.892727,5,USB_connected,WLC_disconnected,3.289,-191.025,21.845,4.42,4.42,37.207,0.000,0.000,0.000,4.387
1753201822.1255322,5,USB_connected,WLC_disconnected,3.289,-191.250,21.845,4.44,4.44,40.377,0.000,0.000,0.000,4.331
1753201823.35776,5,USB_connected,WLC_disconnected,3.294,-191.475,21.845,4.47,4.47,40.377,0.000,0.000,0.000,4.331
1753201824.590872,5,USB_connected,WLC_disconnected,3.294,-191.250,21.946,4.49,4.49,40.377,0.000,0.000,0.000,4.331
1753201825.8238943,5,USB_connected,WLC_disconnected,3.294,-191.475,21.845,4.51,4.51,40.377,0.000,0.000,0.000,4.387
1753201827.0562704,5,USB_connected,WLC_disconnected,3.294,-191.250,21.946,4.54,4.54,40.377,0.000,0.000,0.000,4.349
1753201828.2887964,5,USB_connected,WLC_disconnected,3.294,-191.475,21.946,4.56,4.56,40.377,0.000,0.000,0.000,4.387
1753201829.5220501,5,USB_connected,WLC_disconnected,3.294,-191.250,21.946,4.59,4.59,40.377,0.000,0.000,0.000,4.337
1753201830.7546465,5,USB_connected,WLC_disconnected,3.294,-191.250,21.946,4.61,4.61,40.377,0.000,0.000,0.000,4.343
1753201831.9873848,5,USB_connected,WLC_disconnected,3.294,-191.025,21.946,4.64,4.64,40.377,0.000,0.000,0.000,4.387
1753201833.2199337,5,USB_connected,WLC_disconnected,3.294,-191.475,21.845,4.66,4.66,38.000,0.000,0.000,0.000,4.331
1753201834.4528422,5,USB_connected,WLC_disconnected,3.294,-191.250,21.946,4.68,4.68,40.377,0.000,0.000,0.000,4.343
1753201835.685596,5,USB_connected,WLC_disconnected,3.299,-191.700,21.946,4.71,4.71,40.377,0.000,0.000,0.000,4.337
1753201836.9183104,5,USB_connected,WLC_disconnected,3.294,-191.700,21.946,4.73,4.73,38.000,0.000,0.000,0.000,4.355
1753201838.1509516,5,USB_connected,WLC_disconnected,3.299,-191.250,21.946,4.76,4.76,40.377,0.000,0.000,0.000,4.337
1753201839.3839533,5,USB_connected,WLC_disconnected,3.299,-190.575,21.946,4.78,4.78,40.377,0.000,0.000,0.000,4.337
1753201840.6165457,5,USB_connected,WLC_disconnected,3.299,-191.475,21.946,4.80,4.80,40.377,0.000,0.000,0.000,4.337
1753201841.8492446,5,USB_connected,WLC_disconnected,3.299,-191.475,21.946,4.83,4.83,40.377,0.000,0.000,0.000,4.337
1753201843.082122,5,USB_connected,WLC_disconnected,3.299,-190.575,21.946,4.85,4.85,40.377,0.000,0.000,0.000,4.331
1753201844.314867,5,USB_connected,WLC_disconnected,3.299,-191.475,21.946,4.88,4.88,41.170,0.000,0.000,0.000,4.399
1753201845.5474002,5,USB_connected,WLC_disconnected,3.304,-191.250,21.946,4.90,4.90,40.377,0.000,0.000,0.000,4.324
1753201846.7805634,5,USB_connected,WLC_disconnected,3.299,-191.475,21.946,4.92,4.92,37.207,0.000,0.000,0.000,4.337
1753201848.0130546,5,USB_connected,WLC_disconnected,3.299,-191.250,22.047,4.95,4.95,40.377,0.000,0.000,0.000,4.331
1753201849.2458038,5,USB_connected,WLC_disconnected,3.299,-191.250,21.946,4.97,4.97,40.377,0.000,0.000,0.000,4.387
1753201850.4785712,5,USB_connected,WLC_disconnected,3.299,-191.700,22.047,4.99,4.99,40.377,0.000,0.000,0.000,4.331
1753201851.7112381,5,USB_connected,WLC_disconnected,3.304,-191.250,21.946,5.02,5.02,40.377,0.000,0.000,0.000,4.331
1753201852.944174,5,USB_connected,WLC_disconnected,3.304,-191.475,22.047,5.04,5.04,40.377,0.000,0.000,0.000,4.362
1753201854.1765478,5,USB_connected,WLC_disconnected,3.304,-191.475,22.047,5.07,5.07,40.377,0.000,0.000,0.000,4.331
1753201855.4095871,5,USB_connected,WLC_disconnected,3.304,-191.475,22.047,5.09,5.09,40.377,0.000,0.000,0.000,4.337
1753201856.642459,5,USB_connected,WLC_disconnected,3.304,-191.250,22.047,5.11,5.11,40.377,0.000,0.000,0.000,4.337
1753201857.8750563,5,USB_connected,WLC_disconnected,3.304,-191.475,22.047,5.14,5.14,40.377,0.000,0.000,0.000,4.331
1753201859.1077483,5,USB_connected,WLC_disconnected,3.308,-191.700,22.047,5.16,5.16,40.377,0.000,0.000,0.000,4.393
1753201860.3406978,5,USB_connected,WLC_disconnected,3.308,-191.250,22.047,5.19,5.19,40.377,0.000,0.000,0.000,4.349
1753201861.5732148,5,USB_connected,WLC_disconnected,3.304,-191.250,22.047,5.21,5.21,40.377,0.000,0.000,0.000,4.387
1753201862.8062046,5,USB_connected,WLC_disconnected,3.308,-190.125,22.047,5.23,5.23,37.207,0.000,0.000,0.000,4.337
1753201864.038221,5,USB_connected,WLC_disconnected,3.308,-191.025,21.946,5.26,5.26,40.377,0.000,0.000,0.000,4.331
1753201865.2713776,5,USB_connected,WLC_disconnected,3.304,-191.700,22.047,5.28,5.28,40.377,0.000,0.000,0.000,4.355
1753201866.5043433,5,USB_connected,WLC_disconnected,3.308,-191.700,22.047,5.31,5.31,41.170,0.000,0.000,0.000,4.331
1753201867.7370067,5,USB_connected,WLC_disconnected,3.308,-191.475,22.047,5.33,5.33,40.377,0.000,0.000,0.000,4.387
1753201868.9695778,5,USB_connected,WLC_disconnected,3.308,-191.475,22.047,5.35,5.35,40.377,0.000,0.000,0.000,4.362
1753201870.202764,5,USB_connected,WLC_disconnected,3.308,-191.700,22.047,5.38,5.38,40.377,0.000,0.000,0.000,4.331
1753201871.4351256,5,USB_connected,WLC_disconnected,3.308,-191.250,22.047,5.40,5.40,40.377,0.000,0.000,0.000,4.337
1753201872.6678727,5,USB_connected,WLC_disconnected,3.308,-191.700,22.047,5.42,5.42,40.377,0.000,0.000,0.000,4.331
1753201873.9006233,5,USB_connected,WLC_disconnected,3.308,-191.700,22.148,5.45,5.45,40.377,0.000,0.000,0.000,4.337
1753201875.1334817,5,USB_connected,WLC_disconnected,3.308,-191.475,22.047,5.47,5.47,40.377,0.000,0.000,0.000,4.331
1753201876.3662279,5,USB_connected,WLC_disconnected,3.313,-190.575,22.047,5.49,5.49,40.377,0.000,0.000,0.000,4.331
1753201877.5990431,5,USB_connected,WLC_disconnected,3.313,-191.700,22.047,5.52,5.52,41.170,0.000,0.000,0.000,4.343
1753201878.8317988,5,USB_connected,WLC_disconnected,3.313,-191.700,22.148,5.54,5.54,39.585,0.000,0.000,0.000,4.324
1753201880.06482,5,USB_connected,WLC_disconnected,3.308,-191.475,22.148,5.56,5.56,40.377,0.000,0.000,0.000,4.343
1753201881.2971146,5,USB_connected,WLC_disconnected,3.313,-192.150,22.047,5.59,5.59,40.377,0.000,0.000,0.000,4.331
1753201882.529811,5,USB_connected,WLC_disconnected,3.308,-191.475,22.148,5.61,5.61,40.377,0.000,0.000,0.000,4.331
1753201883.7630866,5,USB_connected,WLC_disconnected,3.308,-191.025,22.047,5.63,5.63,40.377,0.000,0.000,0.000,4.343
1753201884.9954085,5,USB_connected,WLC_disconnected,3.308,-191.700,22.047,5.65,5.65,40.377,0.000,0.000,0.000,4.387
1753201886.228113,5,USB_connected,WLC_disconnected,3.313,-191.700,22.047,5.68,5.68,39.585,0.000,0.000,0.000,4.387
1753201887.4612386,5,USB_connected,WLC_disconnected,3.313,-191.700,22.148,5.70,5.70,40.377,0.000,0.000,0.000,4.337
1753201888.6936314,5,USB_connected,WLC_disconnected,3.313,-191.475,22.047,5.72,5.72,40.377,0.000,0.000,0.000,4.362
1753201889.9261522,5,USB_connected,WLC_disconnected,3.308,-191.475,22.047,5.75,5.75,40.377,0.000,0.000,0.000,4.387
1753201891.159393,5,USB_connected,WLC_disconnected,3.313,-191.700,22.148,5.77,5.77,40.377,0.000,0.000,0.000,4.387
1753201892.3917773,5,USB_connected,WLC_disconnected,3.313,-191.700,22.148,5.79,5.79,40.377,0.000,0.000,0.000,4.387
1753201893.6245003,5,USB_connected,WLC_disconnected,3.313,-191.700,22.047,5.81,5.81,40.377,0.000,0.000,0.000,4.337
1753201894.8568935,5,USB_connected,WLC_disconnected,3.318,-191.025,22.148,5.83,5.83,41.170,0.000,0.000,0.000,4.387
1753201896.089795,5,USB_connected,WLC_disconnected,3.313,-192.150,22.148,5.86,5.86,39.585,0.000,0.000,0.000,4.349
1753201897.3231297,5,USB_connected,WLC_disconnected,3.313,-191.475,22.148,5.88,5.88,40.377,0.000,0.000,0.000,4.331
1753201898.5556273,5,USB_connected,WLC_disconnected,3.313,-191.250,22.148,5.90,5.90,37.207,0.000,0.000,0.000,4.337
1753201899.7883213,5,USB_connected,WLC_disconnected,3.313,-191.475,22.148,5.92,5.92,40.377,0.000,0.000,0.000,4.337
1753201901.0213768,5,USB_connected,WLC_disconnected,3.313,-191.700,22.249,5.94,5.94,40.377,0.000,0.000,0.000,4.331
1753201902.253566,5,USB_connected,WLC_disconnected,3.318,-191.475,22.148,5.96,5.96,40.377,0.000,0.000,0.000,4.349
1753201903.4864361,5,USB_connected,WLC_disconnected,3.313,-190.575,22.148,5.98,5.98,40.377,0.000,0.000,0.000,4.337
1753201904.7193093,5,USB_connected,WLC_disconnected,3.313,-190.575,22.148,6.01,6.01,40.377,0.000,0.000,0.000,4.337
1753201905.9519963,5,USB_connected,WLC_disconnected,3.318,-191.475,22.148,6.03,6.03,40.377,0.000,0.000,0.000,4.331
1753201907.185049,5,USB_connected,WLC_disconnected,3.318,-192.600,22.148,6.05,6.05,37.207,0.000,0.000,0.000,4.337
1753201908.4175942,5,USB_connected,WLC_disconnected,3.318,-191.700,22.148,6.07,6.07,40.377,0.000,0.000,0.000,4.337
1753201909.6503334,5,USB_connected,WLC_disconnected,3.313,-191.475,22.148,6.09,6.09,40.377,0.000,0.000,0.000,4.331
1753201910.8832407,5,USB_connected,WLC_disconnected,3.313,-191.475,22.249,6.11,6.11,40.377,0.000,0.000,0.000,4.331
1753201912.1158638,5,USB_connected,WLC_disconnected,3.313,-191.700,22.148,6.13,6.13,40.377,0.000,0.000,0.000,4.387
1753201913.3485668,5,USB_connected,WLC_disconnected,3.318,-191.700,22.249,6.16,6.16,40.377,0.000,0.000,0.000,4.343
1753201914.5814607,5,USB_connected,WLC_disconnected,3.318,-191.475,22.148,6.18,6.18,41.170,0.000,0.000,0.000,4.331
1753201915.813972,5,USB_connected,WLC_disconnected,3.318,-192.150,22.148,6.20,6.20,40.377,0.000,0.000,0.000,4.343
1753201917.0467575,5,USB_connected,WLC_disconnected,3.318,-191.475,22.148,6.22,6.22,40.377,0.000,0.000,0.000,4.349
1753201918.2796812,5,USB_connected,WLC_disconnected,3.318,-191.475,22.249,6.24,6.24,40.377,0.000,0.000,0.000,4.343
1753201919.5122638,5,USB_connected,WLC_disconnected,3.318,-192.150,22.148,6.26,6.26,37.207,0.000,0.000,0.000,4.343
1753201920.7447813,5,USB_connected,WLC_disconnected,3.318,-191.700,22.148,6.28,6.28,40.377,0.000,0.000,0.000,4.393
1753201921.9776418,5,USB_connected,WLC_disconnected,3.318,-191.475,22.148,6.30,6.30,40.377,0.000,0.000,0.000,4.331
1753201923.2105882,5,USB_connected,WLC_disconnected,3.318,-191.475,22.148,6.32,6.32,40.377,0.000,0.000,0.000,4.362
1753201924.4433796,5,USB_connected,WLC_disconnected,3.318,-191.475,22.249,6.34,6.34,40.377,0.000,0.000,0.000,4.337
1753201925.675477,5,USB_connected,WLC_disconnected,3.318,-192.150,22.249,6.36,6.36,40.377,0.000,0.000,0.000,4.331
1753201926.9086797,5,USB_connected,WLC_disconnected,3.318,-191.700,22.249,6.38,6.38,40.377,0.000,0.000,0.000,4.387
1753201928.1415818,5,USB_connected,WLC_disconnected,3.318,-191.475,22.148,6.40,6.40,40.377,0.000,0.000,0.000,4.337
1753201929.3739853,5,USB_connected,WLC_disconnected,3.318,-192.150,22.249,6.41,6.41,40.377,0.000,0.000,0.000,4.337
1753201930.6070528,5,USB_connected,WLC_disconnected,3.318,-191.475,22.249,6.43,6.43,40.377,0.000,0.000,0.000,4.331
1753201931.839736,5,USB_connected,WLC_disconnected,3.318,-190.125,22.249,6.45,6.45,41.170,0.000,0.000,0.000,4.343
1753201933.0724833,5,USB_connected,WLC_disconnected,3.318,-190.575,22.249,6.47,6.47,40.377,0.000,0.000,0.000,4.337
1753201934.3052788,5,USB_connected,WLC_disconnected,3.318,-191.475,22.249,6.49,6.49,40.377,0.000,0.000,0.000,4.337
1753201935.5377445,5,USB_connected,WLC_disconnected,3.318,-191.925,22.249,6.51,6.51,40.377,0.000,0.000,0.000,4.324
1753201936.7706494,5,USB_connected,WLC_disconnected,3.318,-191.925,22.249,6.52,6.52,40.377,0.000,0.000,0.000,4.362
1753201938.003681,5,USB_connected,WLC_disconnected,3.318,-191.475,22.249,6.54,6.54,40.377,0.000,0.000,0.000,4.387
1753201939.2360249,5,USB_connected,WLC_disconnected,3.318,-191.700,21.845,6.56,6.56,41.170,0.000,0.000,0.000,4.337
1753201940.4684236,5,USB_connected,WLC_disconnected,3.318,-191.700,22.249,6.58,6.58,41.170,0.000,0.000,0.000,4.355
1753201941.7018852,5,USB_connected,WLC_disconnected,3.318,-191.700,22.249,6.59,6.59,40.377,0.000,0.000,0.000,4.331
1753201942.9344177,5,USB_connected,WLC_disconnected,3.318,-191.700,22.249,6.61,6.61,41.170,0.000,0.000,0.000,4.337
