time,vbat,ibat,ntc_temp,vsys,die_temp,iba_meas_status,buck_status,mode
0,3.431,118.8,35.44,3.408,37.207,0x04,0x0E,DISCHARGING
2002,3.421,114.8,35.44,3.383,36.414,0x04,0x0E,DISCHARGING
4004,3.391,121.6,35.44,3.371,36.414,0x04,0x0E,DISCHARGING
6006,3.391,121.6,35.554,3.358,36.414,0x04,0x0E,DISCHARGING
8008,3.372,118.8,35.554,3.352,35.622,0x04,0x0E,DISCHARGING
10010,3.362,120.4,35.554,3.352,35.622,0x04,0x0E,DISCHARGING
12011,3.362,122.4,35.554,3.34,36.414,0x04,0x0E,DISCHARGING
14012,3.372,119.6,35.554,3.333,36.414,0x04,0x0E,DISCHARGING
16014,3.352,122.4,35.44,3.333,35.622,0x04,0x0E,DISCHARGING
18016,3.347,120.4,35.554,3.327,35.622,0x04,0x0E,DISCHARGING
20018,3.352,108.0,35.554,3.321,36.414,0x04,0x0E,DISCHARGING
22020,3.343,123.2,35.554,3.321,35.622,0x04,0x0E,DISCHARGING
24021,3.352,118.8,35.554,3.315,36.414,0x04,0x0E,DISCHARGING
26022,3.352,122.4,35.554,3.309,35.622,0x04,0x0E,DISCHARGING
28024,3.333,128.0,35.554,3.302,35.622,0x04,0x0E,DISCHARGING
30025,3.333,124.8,35.554,3.302,35.622,0x04,0x0E,DISCHARGING
32027,3.323,114.8,35.554,3.296,35.622,0x04,0x0E,DISCHARGING
34029,3.333,119.6,35.554,3.296,35.622,0x04,0x0E,DISCHARGING
36031,3.333,120.8,35.554,3.296,35.622,0x04,0x0E,DISCHARGING
38033,3.323,108.0,35.554,3.29,36.414,0x04,0x0E,DISCHARGING
40035,3.313,121.2,35.554,3.284,35.622,0x04,0x0E,DISCHARGING
42037,3.308,124.0,35.554,3.284,36.414,0x04,0x0E,DISCHARGING
44038,3.313,121.2,35.554,3.277,35.622,0x04,0x0E,DISCHARGING
46040,3.313,121.2,35.44,3.277,35.622,0x04,0x0E,DISCHARGING
48042,3.313,108.8,35.554,3.284,35.622,0x04,0x0E,DISCHARGING
50044,3.313,122.0,35.554,3.277,35.622,0x04,0x0E,DISCHARGING
52046,3.294,123.2,35.554,3.271,35.622,0x04,0x0E,DISCHARGING
54048,3.304,123.2,35.554,3.271,35.622,0x04,0x0E,DISCHARGING
56050,3.294,123.6,35.554,3.271,35.622,0x04,0x0E,DISCHARGING
58052,3.294,108.0,35.554,3.265,35.622,0x04,0x0E,DISCHARGING
60054,3.294,125.2,35.554,3.265,35.622,0x04,0x0E,DISCHARGING
62055,3.284,122.4,35.554,3.265,35.622,0x04,0x0E,DISCHARGING
64057,3.294,131.2,35.554,3.259,35.622,0x04,0x0E,DISCHARGING
66059,3.294,125.6,35.554,3.259,35.622,0x04,0x0E,DISCHARGING
68060,3.284,123.2,35.554,3.265,35.622,0x04,0x0E,DISCHARGING
70061,3.274,123.2,35.554,3.259,35.622,0x04,0x0E,DISCHARGING
72062,3.274,124.0,35.554,3.259,35.622,0x04,0x0E,DISCHARGING
74063,3.274,122.8,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
76065,3.274,122.4,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
78067,3.274,122.4,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
80069,3.274,128.399,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
82070,3.274,120.4,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
84071,3.274,112.0,35.554,3.246,35.622,0x04,0x0E,DISCHARGING
86073,3.274,120.4,35.554,3.246,35.622,0x04,0x0E,DISCHARGING
88431,3.255,164.0,35.554,3.221,35.622,0x04,0x0E,DISCHARGING
90433,3.255,160.8,35.554,3.221,35.622,0x04,0x0E,DISCHARGING
92435,3.255,158.8,35.554,3.228,36.414,0x04,0x0E,DISCHARGING
94437,3.255,158.8,35.554,3.215,35.622,0x04,0x0E,DISCHARGING
96439,3.245,158.8,35.554,3.221,36.414,0x04,0x0E,DISCHARGING
98441,3.255,158.8,35.554,3.215,36.414,0x04,0x0E,DISCHARGING
100443,3.255,163.6,35.554,3.215,36.414,0x04,0x0E,DISCHARGING
102445,3.255,168.0,35.554,3.215,35.622,0x04,0x0E,DISCHARGING
104447,3.255,162.4,35.554,3.215,36.414,0x04,0x0E,DISCHARGING
106449,3.245,158.8,35.554,3.215,36.414,0x04,0x0E,DISCHARGING
108451,3.255,160.8,35.554,3.215,36.414,0x04,0x0E,DISCHARGING
110453,3.255,168.0,35.554,3.209,36.414,0x04,0x0E,DISCHARGING
112455,3.255,158.8,35.554,3.215,36.414,0x04,0x0E,DISCHARGING
114457,3.255,158.0,35.554,3.215,35.622,0x04,0x0E,DISCHARGING
116459,3.245,160.4,35.554,3.215,35.622,0x04,0x0E,DISCHARGING
118461,3.245,158.8,35.668,3.215,36.414,0x04,0x0E,DISCHARGING
120463,3.245,163.6,35.554,3.215,35.622,0x04,0x0E,DISCHARGING
122465,3.255,160.8,35.554,3.215,36.414,0x04,0x0E,DISCHARGING
124467,3.245,160.8,35.554,3.215,36.414,0x04,0x0E,DISCHARGING
126469,3.245,162.4,35.554,3.209,36.414,0x04,0x0E,DISCHARGING
128471,3.255,158.8,35.668,3.215,36.414,0x04,0x0E,DISCHARGING
130473,3.245,166.4,35.554,3.209,36.414,0x04,0x0E,DISCHARGING
132475,3.245,161.6,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
134477,3.255,166.4,35.554,3.209,36.414,0x04,0x0E,DISCHARGING
136479,3.245,158.8,35.554,3.209,36.414,0x04,0x0E,DISCHARGING
138481,3.255,163.2,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
140483,3.255,158.4,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
142485,3.255,158.8,35.554,3.215,36.414,0x04,0x0E,DISCHARGING
144487,3.245,166.4,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
146489,3.255,172.8,35.554,3.209,36.414,0x04,0x0E,DISCHARGING
148491,3.245,159.2,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
150493,3.245,160.8,35.554,3.209,36.414,0x04,0x0E,DISCHARGING
152495,3.245,164.0,35.668,3.215,36.414,0x04,0x0E,DISCHARGING
154497,3.255,158.8,35.554,3.209,35.622,0x04,0x0E,DISCHARGING
156499,3.245,161.6,35.668,3.209,35.622,0x04,0x0E,DISCHARGING
158501,3.245,160.8,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
160503,3.255,160.8,35.668,3.209,35.622,0x04,0x0E,DISCHARGING
162505,3.255,160.8,35.668,3.221,36.414,0x04,0x0E,DISCHARGING
164507,3.245,166.4,35.668,3.209,35.622,0x04,0x0E,DISCHARGING
166509,3.245,164.8,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
168511,3.245,166.4,35.554,3.209,35.622,0x04,0x0E,DISCHARGING
170513,3.245,163.6,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
172515,3.255,166.4,35.668,3.221,36.414,0x04,0x0E,DISCHARGING
174517,3.255,158.8,35.554,3.209,36.414,0x04,0x0E,DISCHARGING
176518,3.255,168.0,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
178520,3.255,157.6,35.668,3.215,36.414,0x04,0x0E,DISCHARGING
180522,3.255,163.2,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
182523,3.245,166.4,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
184525,3.255,166.4,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
186527,3.255,160.8,35.668,3.209,35.622,0x04,0x0E,DISCHARGING
188885,3.216,211.2,35.668,3.184,36.414,0x04,0x0E,DISCHARGING
190886,3.216,211.2,35.668,3.184,36.414,0x04,0x0E,DISCHARGING
192888,3.235,209.2,35.668,3.178,36.414,0x04,0x0E,DISCHARGING
194890,3.216,210.8,35.668,3.178,36.414,0x04,0x0E,DISCHARGING
196891,3.225,199.6,35.668,3.178,36.414,0x04,0x0E,DISCHARGING
198893,3.225,213.6,35.668,3.184,36.414,0x04,0x0E,DISCHARGING
200895,3.216,210.8,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
202897,3.211,217.6,35.668,3.178,36.414,0x04,0x0E,DISCHARGING
204899,3.22,210.0,35.668,3.178,36.414,0x04,0x0E,DISCHARGING
206900,3.211,210.0,35.783,3.184,36.414,0x04,0x0E,DISCHARGING
208901,3.211,210.4,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
210903,3.216,212.8,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
212904,3.216,210.8,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
214906,3.225,197.6,35.783,3.184,36.414,0x04,0x0E,DISCHARGING
216907,3.216,214.4,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
218909,3.211,212.8,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
220910,3.206,210.0,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
222912,3.216,211.2,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
224914,3.211,208.4,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
226916,3.216,204.4,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
228917,3.216,210.0,35.783,3.178,37.207,0x04,0x0E,DISCHARGING
230918,3.216,210.0,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
232919,3.211,208.4,35.783,3.184,36.414,0x04,0x0E,DISCHARGING
234921,3.211,212.0,35.783,3.184,36.414,0x04,0x0E,DISCHARGING
236923,3.216,204.4,35.783,3.184,36.414,0x04,0x0E,DISCHARGING
238925,3.216,212.0,35.783,3.184,36.414,0x04,0x0E,DISCHARGING
240927,3.216,211.6,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
242929,3.211,208.4,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
244930,3.216,212.0,35.783,3.171,36.414,0x04,0x0E,DISCHARGING
246932,3.216,212.0,35.783,3.171,36.414,0x04,0x0E,DISCHARGING
248933,3.216,210.0,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
250934,3.216,204.8,35.783,3.184,36.414,0x04,0x0E,DISCHARGING
252936,3.216,208.4,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
254938,3.216,212.0,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
256939,3.211,210.0,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
258940,3.225,209.6,35.783,3.184,36.414,0x04,0x0E,DISCHARGING
260941,3.206,212.0,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
262942,3.216,212.8,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
264943,3.216,215.2,35.783,3.171,36.414,0x04,0x0E,DISCHARGING
266944,3.216,196.8,35.783,3.184,36.414,0x04,0x0E,DISCHARGING
268945,3.206,210.8,35.783,3.178,37.207,0x04,0x0E,DISCHARGING
270947,3.216,210.8,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
272949,3.225,211.2,35.783,3.184,36.414,0x04,0x0E,DISCHARGING
274951,3.216,209.2,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
276952,3.216,214.4,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
278953,3.216,215.2,35.783,3.178,37.207,0x04,0x0E,DISCHARGING
280954,3.216,214.4,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
282955,3.24,212.8,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
284956,3.216,212.8,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
286957,3.235,204.4,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
289313,3.274,92.0,35.783,3.252,36.414,0x04,0x0E,DISCHARGING
291315,3.274,93.6,35.783,3.246,36.414,0x04,0x0E,DISCHARGING
293317,3.264,102.4,35.783,3.252,36.414,0x04,0x0E,DISCHARGING
295319,3.274,91.2,35.783,3.252,36.414,0x04,0x0E,DISCHARGING
297320,3.274,92.0,35.668,3.252,36.414,0x04,0x0E,DISCHARGING
299322,3.269,94.4,35.668,3.252,36.414,0x04,0x0E,DISCHARGING
301324,3.274,92.0,35.668,3.252,36.414,0x04,0x0E,DISCHARGING
303326,3.294,94.8,35.668,3.252,35.622,0x04,0x0E,DISCHARGING
305328,3.269,91.6,35.668,3.252,35.622,0x04,0x0E,DISCHARGING
307330,3.274,89.2,35.668,3.252,35.622,0x04,0x0E,DISCHARGING
309332,3.269,89.2,35.554,3.252,36.414,0x04,0x0E,DISCHARGING
311334,3.274,91.6,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
313336,3.274,93.2,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
315338,3.274,94.4,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
317340,3.274,93.2,35.668,3.252,36.414,0x04,0x0E,DISCHARGING
319342,3.264,92.8,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
321344,3.264,94.0,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
323346,3.264,93.6,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
325348,3.264,91.2,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
327350,3.274,91.2,35.554,3.259,35.622,0x04,0x0E,DISCHARGING
329352,3.274,88.4,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
331354,3.294,88.8,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
333356,3.274,92.8,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
335358,3.274,89.2,35.554,3.259,35.622,0x04,0x0E,DISCHARGING
337360,3.274,87.6,35.554,3.259,35.622,0x04,0x0E,DISCHARGING
339362,3.274,87.6,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
341364,3.274,93.2,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
343366,3.274,94.0,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
345368,3.274,96.0,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
347370,3.274,96.8,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
349372,3.274,92.0,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
351374,3.269,89.2,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
353376,3.274,91.6,35.554,3.259,35.622,0x04,0x0E,DISCHARGING
355378,3.274,92.0,35.554,3.259,35.622,0x04,0x0E,DISCHARGING
357380,3.274,91.6,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
359382,3.274,87.6,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
361384,3.264,91.2,35.554,3.259,35.622,0x04,0x0E,DISCHARGING
363386,3.274,92.0,35.554,3.259,35.622,0x04,0x0E,DISCHARGING
365388,3.269,96.8,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
367390,3.274,96.8,35.554,3.259,35.622,0x04,0x0E,DISCHARGING
369392,3.274,93.6,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
371394,3.294,88.8,35.554,3.259,35.622,0x04,0x0E,DISCHARGING
373396,3.274,94.4,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
375398,3.274,91.2,35.44,3.259,35.622,0x04,0x0E,DISCHARGING
377400,3.274,89.2,35.554,3.259,35.622,0x04,0x0E,DISCHARGING
379402,3.274,90.8,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
381404,3.274,93.2,35.554,3.252,35.622,0x04,0x0E,DISCHARGING
383406,3.274,87.6,35.44,3.259,35.622,0x04,0x0E,DISCHARGING
385408,3.274,89.2,35.554,3.259,35.622,0x04,0x0E,DISCHARGING
387410,3.274,92.0,35.554,3.259,35.622,0x04,0x0E,DISCHARGING
389766,3.255,131.6,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
391768,3.274,124.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
393770,3.274,126.4,35.554,3.24,35.622,0x04,0x0E,DISCHARGING
395772,3.255,126.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
397774,3.274,125.2,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
399776,3.274,124.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
401778,3.255,128.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
403780,3.255,128.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
405782,3.274,125.2,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
407784,3.26,128.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
409786,3.274,122.8,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
411788,3.264,128.399,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
413790,3.274,124.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
415792,3.25,129.6,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
417794,3.274,128.399,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
419796,3.274,120.4,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
421798,3.255,125.6,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
423800,3.274,122.8,35.554,3.234,36.414,0x04,0x0E,DISCHARGING
425802,3.274,125.6,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
427804,3.25,123.6,35.554,3.228,36.414,0x04,0x0E,DISCHARGING
429806,3.274,128.8,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
431808,3.255,124.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
433810,3.255,122.4,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
435812,3.255,125.2,35.554,3.234,36.414,0x04,0x0E,DISCHARGING
437814,3.264,120.4,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
439816,3.274,124.0,35.44,3.234,35.622,0x04,0x0E,DISCHARGING
441817,3.274,128.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
443819,3.274,111.2,35.554,3.228,35.622,0x04,0x0E,DISCHARGING
445820,3.255,125.2,35.554,3.234,36.414,0x04,0x0E,DISCHARGING
447822,3.274,124.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
449824,3.274,124.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
451826,3.274,128.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
453828,3.264,110.0,35.554,3.24,35.622,0x04,0x0E,DISCHARGING
455830,3.255,125.6,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
457832,3.274,126.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
459833,3.264,126.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
461835,3.264,122.8,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
463837,3.255,123.6,35.554,3.246,35.622,0x04,0x0E,DISCHARGING
465839,3.264,128.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
467841,3.274,124.0,35.554,3.24,36.414,0x04,0x0E,DISCHARGING
469843,3.274,126.4,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
471845,3.274,125.2,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
473847,3.264,122.4,35.554,3.24,35.622,0x04,0x0E,DISCHARGING
475849,3.274,125.2,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
477851,3.274,126.4,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
479853,3.264,126.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
481855,3.264,124.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
483857,3.269,122.8,35.554,3.24,35.622,0x04,0x0E,DISCHARGING
485859,3.255,120.4,35.554,3.234,36.414,0x04,0x0E,DISCHARGING
487861,3.264,124.0,35.554,3.234,35.622,0x04,0x0E,DISCHARGING
490217,3.255,163.6,35.554,3.209,35.622,0x04,0x0E,DISCHARGING
492218,3.245,162.4,35.554,3.209,35.622,0x04,0x0E,DISCHARGING
494219,3.255,162.4,35.554,3.209,36.414,0x04,0x0E,DISCHARGING
496221,3.245,160.0,35.554,3.209,35.622,0x04,0x0E,DISCHARGING
498223,3.255,160.8,35.554,3.221,35.622,0x04,0x0E,DISCHARGING
500225,3.245,160.8,35.554,3.215,35.622,0x04,0x0E,DISCHARGING
502227,3.245,163.2,35.554,3.215,35.622,0x04,0x0E,DISCHARGING
504229,3.245,157.2,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
506231,3.255,160.8,35.554,3.209,35.622,0x04,0x0E,DISCHARGING
508233,3.245,148.8,35.554,3.209,36.414,0x04,0x0E,DISCHARGING
510235,3.245,160.0,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
512237,3.245,161.6,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
514239,3.255,160.8,35.554,3.209,36.414,0x04,0x0E,DISCHARGING
516241,3.255,161.6,35.554,3.209,36.414,0x04,0x0E,DISCHARGING
518243,3.255,148.8,35.668,3.215,36.414,0x04,0x0E,DISCHARGING
520245,3.255,160.8,35.554,3.209,35.622,0x04,0x0E,DISCHARGING
522247,3.255,159.6,35.668,3.215,36.414,0x04,0x0E,DISCHARGING
524249,3.255,160.8,35.668,3.215,36.414,0x04,0x0E,DISCHARGING
526251,3.255,160.4,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
528252,3.245,162.4,35.554,3.215,35.622,0x04,0x0E,DISCHARGING
530254,3.245,162.4,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
532256,3.255,160.8,35.554,3.209,36.414,0x04,0x0E,DISCHARGING
534257,3.245,161.6,35.668,3.209,35.622,0x04,0x0E,DISCHARGING
536259,3.255,160.8,35.668,3.215,36.414,0x04,0x0E,DISCHARGING
538260,3.255,161.2,35.668,3.209,35.622,0x04,0x0E,DISCHARGING
540262,3.245,160.8,35.668,3.209,35.622,0x04,0x0E,DISCHARGING
542264,3.245,164.4,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
544266,3.245,158.8,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
546267,3.25,150.8,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
548269,3.255,163.6,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
550271,3.255,161.6,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
552273,3.245,163.2,35.668,3.209,35.622,0x04,0x0E,DISCHARGING
554275,3.245,160.8,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
556277,3.245,148.0,35.668,3.215,35.622,0x04,0x0E,DISCHARGING
558278,3.245,161.2,35.554,3.209,35.622,0x04,0x0E,DISCHARGING
560280,3.245,166.4,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
562282,3.245,166.4,35.554,3.209,36.414,0x04,0x0E,DISCHARGING
564284,3.245,163.6,35.668,3.215,35.622,0x04,0x0E,DISCHARGING
566286,3.255,164.0,35.554,3.221,35.622,0x04,0x0E,DISCHARGING
568288,3.255,157.2,35.554,3.209,35.622,0x04,0x0E,DISCHARGING
570290,3.245,158.0,35.554,3.209,35.622,0x04,0x0E,DISCHARGING
572292,3.245,158.8,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
574294,3.255,162.4,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
576296,3.245,163.6,35.554,3.221,36.414,0x04,0x0E,DISCHARGING
578298,3.245,160.8,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
580300,3.255,161.2,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
582302,3.245,158.8,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
584304,3.245,162.0,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
586306,3.255,158.8,35.668,3.215,36.414,0x04,0x0E,DISCHARGING
588308,3.255,163.6,35.668,3.209,36.414,0x04,0x0E,DISCHARGING
590666,3.225,211.2,35.668,3.184,36.414,0x04,0x0E,DISCHARGING
592668,3.23,194.0,35.668,3.184,36.414,0x04,0x0E,DISCHARGING
594669,3.225,217.6,35.668,3.178,35.622,0x04,0x0E,DISCHARGING
596671,3.216,210.0,35.668,3.178,36.414,0x04,0x0E,DISCHARGING
598672,3.211,212.0,35.668,3.178,36.414,0x04,0x0E,DISCHARGING
600673,3.235,212.0,35.668,3.178,36.414,0x04,0x0E,DISCHARGING
602675,3.216,211.2,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
604676,3.216,212.0,35.783,3.171,36.414,0x04,0x0E,DISCHARGING
606678,3.216,208.4,35.783,3.184,36.414,0x04,0x0E,DISCHARGING
608680,3.235,212.0,35.783,3.184,36.414,0x04,0x0E,DISCHARGING
610682,3.216,198.4,35.668,3.184,36.414,0x04,0x0E,DISCHARGING
612684,3.216,208.4,35.783,3.178,37.207,0x04,0x0E,DISCHARGING
614686,3.216,212.0,35.783,3.171,36.414,0x04,0x0E,DISCHARGING
616688,3.216,208.4,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
618690,3.235,209.2,35.783,3.171,36.414,0x04,0x0E,DISCHARGING
620692,3.216,195.6,35.783,3.184,36.414,0x04,0x0E,DISCHARGING
622693,3.216,209.6,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
624695,3.216,217.6,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
626697,3.211,212.8,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
628699,3.211,210.8,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
630701,3.225,212.4,35.783,3.184,36.414,0x04,0x0E,DISCHARGING
632703,3.216,210.8,35.783,3.178,37.207,0x04,0x0E,DISCHARGING
634705,3.216,209.2,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
636706,3.225,209.6,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
638708,3.216,212.0,35.783,3.171,36.414,0x04,0x0E,DISCHARGING
640710,3.216,211.2,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
642712,3.216,219.2,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
644714,3.216,215.6,35.783,3.178,37.207,0x04,0x0E,DISCHARGING
646716,3.22,214.8,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
648718,3.216,210.8,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
650720,3.206,209.6,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
652722,3.216,210.0,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
654724,3.216,213.6,35.783,3.184,36.414,0x04,0x0E,DISCHARGING
656726,3.216,208.4,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
658728,3.216,212.8,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
660730,3.216,217.6,35.783,3.178,37.207,0x04,0x0E,DISCHARGING
662731,3.216,214.8,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
664733,3.216,211.6,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
666735,3.216,208.4,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
668737,3.225,198.8,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
670739,3.211,207.6,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
672741,3.216,213.6,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
674743,3.216,212.0,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
676745,3.211,212.0,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
678747,3.225,212.0,35.783,3.178,37.207,0x04,0x0E,DISCHARGING
680749,3.216,208.4,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
682751,3.216,209.2,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
684753,3.206,210.0,35.783,3.178,37.207,0x04,0x0E,DISCHARGING
686755,3.216,210.0,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
688757,3.22,210.0,35.783,3.178,36.414,0x04,0x0E,DISCHARGING
691114,3.255,92.0,35.783,3.246,36.414,0x04,0x0E,DISCHARGING
693116,3.274,96.0,35.668,3.246,36.414,0x04,0x0E,DISCHARGING
695118,3.264,82.4,35.783,3.246,36.414,0x04,0x0E,DISCHARGING
697120,3.274,96.0,35.668,3.246,36.414,0x04,0x0E,DISCHARGING
